lon, sector_type, facility_name, suburb, address, service, postcode, facility_id, lat
152.95217,"Public","Nambour General Hospital","Nambour","Hospital Road","Sunshine Coast","4560","49",-26.621088
153.381504,"Public","Gold Coast University Hospital","Southport","1 Hospital Boulevard","Gold Coast","4215","936",-27.96004
152.050698,"Public","Biggenden Hospital","Biggenden","Alice Street","Wide Bay","4621","61",-25.506398
152.333855,"Public","Bundaberg Base Hospital","Bundaberg","273 Bourbong Street","Wide Bay","4670","62",-24.868973
151.9568,"Public","Cherbourg Hospital","Cherbourg","Barambah Ave","Darling Downs","4605","63",-26.2916
152.273438,"Public","Childers Hospital","Childers","44 Broadhurst Street","Wide Bay","4660","64",-25.239719
151.1266,"Public","Eidsvold Hospital","Eidsvold","Eidsvold Theodore Road","Wide Bay","4627","65",-25.3834
151.6044,"Public","Gayndah Hospital","Gayndah","69 Wharton Street","Wide Bay","4625","66",-25.6316
151.953545,"Public","Gin Gin Hospital","Gin Gin","5 King Street","Wide Bay","4671","67",-24.985857
152.6585,"Public","Gympie Hospital","Gympie","12 Henry Street","Sunshine Coast","4570","68",-26.1845
152.820938,"Public","Hervey Bay Hospital","Urraween","141 Urraween Road","Wide Bay","4655","69",-25.298723
151.838882,"Public","Kinagroy Hospital","Kingaroy","166 Youngman St","Darling Downs","4610","70",-26.532266
152.6899,"Public","Maryborough Hospital","Maryborough","185 Walker Street","Wide Bay","4650","71",-25.5226
151.1129,"Public","Monto Hospital","Monto","35 Flinders St","Wide Bay","4630","72",-24.865
151.2942,"Public","Mundubbera Hospital","Mundubbera","96 Leichhardt Street","Wide Bay","4626","74",-25.5884
151.9505,"Public","Murgon Hospital","Murgon","18 Nutt Strreet","Darling Downs","4605","75",-26.239
152.008324,"Public","Nanango Hospital","Nanango","135 Brisbane Street","Darling Downs","4615","76",-26.66646
151.878954,"Public","Wondai Hospital","Wondai","Bramston Street","Darling Downs","4606","77",-26.323091
150.6343,"Public","Chinchilla Hospital","Chinchilla","Slessar St & Wambo St","Darling Downs","4413","91",-26.7411
151.2775,"Public","Dalby Hospital","Dalby","Hospital Road","Darling Downs","4405","92",-27.1679
150.302338,"Public","Goondiwindi Hospital","Goondiwindi","4-18 Bowen St","Darling Downs","4390","93",-28.547961
151.061325,"Public","Inglewood Hospital","Inglewood","24606 Cunningham Highway","Darling Downs","4387","94",-28.417886
151.1053,"Public","Jandowae Hospital","Jandowae","13 Dalby Street","Darling Downs","4410","95",-26.7812
150.190773,"Public","Miles Hospital","Miles","67 Marian Street","Darling Downs","4415","97",-26.658098
151.262872,"Public","Millmerran Hospital","Millmerran","50 Commens St","Darling Downs","4357","98",-27.879914
151.72,"Public","Oakey Hospital","Oakey","5 Beale Street","Darling Downs","4401","99",-27.4277
151.929398,"Public","Stanthorpe Hospital","Stanthorpe","8 McGregor Terrace","Darling Downs","4380","100",-28.661015
150.4564,"Public","Tara Hospital","Tara","15 Bilton Street","Darling Downs","4421","101",-27.2739
149.798597,"Public","Taroom Hospital","Taroom","Miller Street","Darling Downs","4420","102",-25.639067
151.1789,"Public","Texas Hospital","Texas","Mingoola Road","Darling Downs","4385","103",-28.8573
151.9449,"Public","Toowoomba Hospital","Toowoomba","Pechey Street","Darling Downs","4350","104",-27.569965
152.01796,"Public","Warwick Hospital","Warwick","56 Locke Street","Darling Downs","4370","105",-28.224386
146.5903,"Public","Augathella Hospital","Augathella","Cavanagh St","South West","4477","111",-25.7954
146.239478,"Public","Charleville Hospital","Charleville","72 King Street","South West","4470","112",-26.409903
145.689047,"Public","Cunnamulla Hospital","Cunnamulla","56 Wicks St","South West","4490","113",-28.070932
148.228806,"Public","Dirranbandi Hospital","Dirranbandi","36 Crothers Street","South West","4486","114",-28.579007
148.5628,"Public","Injune Hospital","Injune","Fifth Ave & Hutton Street","South West","4454","115",-25.8469
147.972183,"Public","Mitchell Hospital","Mitchell","95 Ann Street","South West","4465","116",-26.490395
148.988876,"Public","Mungindi Hospital","Mungindi","80 Barwon Street","South West","2406","117",-28.972704
144.275192,"Public","Quilpie Hospital","Quilpie","30 Gyrica St","South West","4480","118",-26.617143
148.775511,"Public","Roma Hospital","Roma","197 - 243 McDowall Street","South West","4455","119",-26.569085
148.592682,"Public","St George Hospital","St George","1 Victoria Street","South West","4487","120",-28.02726
149.0685,"Public","Surat Hospital","Surat","Ivan Street","South West","4417","121",-27.1565
146.637131,"Public","Alpha Hospital","Alpha","3 Gordon Street","Central West","4724","131",-23.655145
149.809181,"Public","Baralaba Hospital","Baralaba","1 Stopford Street","Central Queensland","4702","132",-24.184721
150.51767,"Public","Biloela Hospital","Biloela","2 Hospital Road","Central Queensland","4715","133",-24.39599
148.878408,"Public","Blackwater Hospital","Blackwater","Mackenzie Street","Central Queensland","4717","134",-23.571757
148.15507,"Public","Emerald Hospital","Emerald","69 Hospital Road","Central Queensland","4720","135",-23.51523
151.249084,"Public","Gladstone Hospital","Gladstone","1 Flinders Street","Central Queensland","4680","136",-23.850463
150.3922,"Public","Mount Morgan Hospital","Mount Morgan","Cnr Black & Dee Streets","Central Queensland","4714","139",-23.6457
149.976593,"Public","Moura Hospital","Moura","14 Nott Street","Central Queensland","4718","140",-24.575691
